종목명,개인,외국인,기관계,기관,,,,,,,기타법인
,,,,금융투자,보험,투신,은행,기타금융,연기금등,사모펀드,
이베스트투자증권,-27074,+6720,+17853,+21030,+151,-3230,,-55,+190,-233,+515
이비테크,,,,,,,,,,,
이수앱지스,+153225,-93611,-36159,-21760,,-14399,,,,,-14928
이스트아시아홀딩스,+619303,-672823,,,,,,,,,+5
이십일스토어,,,,,,,,,,,
이앤에치,-2813,,,,,,,,,,+2813
이에스에이,,,,,,,,,,,
이엠네트웍스,,,,,,,,,,,
이엠앤아이,,,,,,,,,,,
이엠코리아,+13480,-14588,+987,+987,,,,,,,
이엠티,-5519,,+5519,,,,,,,+5519,
이즈미디어,+4696,-2810,+245,,,,,,,+245,
이큐셀,,,,,,,,,,,
이트론,+7364081,-4526292,-2711717,,,-2711717,,,,,+122450
이화전기,+8777933,-4496630,-3895659,+1,,-3895660,,,,,-59367
인바이오,-1000,+1557,-500,-500,,,,,,,
인바이츠바이오코아,-200,,+200,+200,,,,,,,
인성정보,-29,-1233,,,,,,,,,+306
인콘,+139418,-138579,,,,,,,,,
인카금융서비스,,,,,,,,,,,
인터엠,-34866,+34816,,,,,,,,,
인터코스,,,,,,,,,,,
인터플렉스,-6911,+12021,-203,+2,,-205,,,,,-4995
인트로메딕,-14043,+18301,+4,+4,,,,,,,-4311
인포마크,+3538,-3538,,,,,,,,,
인포바인,+49,-49,,,,,,,,,
인포뱅크,-2783,+4632,,,,,,,,,-2763
인피니티엔티,,,,,,,,,,,
일야,,,,,,,,,,,
잉크테크,+8200,-8199,,,,,,,,,
자안바이오,+54488,+146460,,,,,,,,,-202800
장원테크,,,,,,,,,,,
전우정밀,,,,,,,,,,,
전진바이오팜,-6866,+6937,,,,,,,,,
정다운,-16639,+16126,,,,,,,,,+2
제낙스,,,,,,,,,,,
제넨바이오,-219560,+202817,-6,-6,,,,,,,+15986
제노텍,,,,,,,,,,,
제노포커스,+16160,-11811,,,,,,,,,-3983
제닉,-15487,+22387,-1138,-939,,,,,,-199,-9799
제이시스메디칼,+53249,-43388,-9187,-9679,,,,,,+492,-1096
제이에스티나,+43,-41,,,,,,,,,
제이엠아이,+16732,-16752,+20,+20,,,,,,,
제이웨이,,,,,,,,,,,
제테마,-16063,+8571,-55719,+7,,-114,,,-18883,-36729,+62912
젬백스지오,+105162,-106564,,,,,,,,,+1
젬백스,+18574,-17232,-7125,+189,,,,,-3071,-4243,+6982
좋은사람들,,,,,,,,,,,
지더블유바이텍,,,,,,,,,,,
지스마트글로벌,,,,,,,,,,,
지앤이헬스케어,,,,,,,,,,,
지엔코,+3161,-7762,,,,,,,,,+3
지엘팜텍,+54906,-58153,,,,,,,,,
지오씨,,,,,,,,,,,
지유온,,,,,,,,,,,
지트리비앤티,-17966,+13305,-586,-417,,,,,+23,-192,+5784
지티지웰니스,-41101,+41101,,,,,,,,,
진바이오텍,-21935,+4619,,,,,,,,,+14270
진코스텍,+48,,-48,,,,,,,-48,
질경이,-1,,,,,,,,,,
